song_ID,title,singer,total,senti_ID
118,除我以外,Doris小武,4316,1.0
119,Holding Your Tongue,Terror Jr,2824,1.0
120,分飞,徐怀钰,2657,0.9333333333333333
121,雨霖铃,卡修Rui,1345,0.7857142857142857
122,最后晚餐,Supper Moment,1205,0.6666666666666666
123,God's Gonna Cut You Down,Johnny Cash,1727,0.8333333333333334
124,自动弃权,符家浚,5122,0.8888888888888888
125,一人晚餐,钟嘉欣,1769,0.6666666666666666
126,不做你的朋友,S.H.E,1127,0.8333333333333334
127,소나기（阵雨）,Oohyo,2676,0.8461538461538461
128,七月上,Jam,134048,0.8571428571428571
129,当你孤单你会想起谁,张栋梁,50068,0.7142857142857143
130,情人,杜德伟,1679,0.7272727272727273
131,寂寞寂寞就好（电视剧《我爱幸运七》插曲）,田馥甄,7200,1.0
132,Closer (R3hab Remix),R3hab，The Chainsmokers，Halsey,15152,0.8571428571428571
133,Loser,Ola,6033,0.75
134,In Time,Talos,11005,0.8
135,大舌头,吴克群,1919,0.9230769230769231
136,虎口脱险,老狼,18951,0.8
137,秦淮梦,呆呆akuma,1858,0.8
138,人生何处不相逢,陈慧娴,11784,0.8461538461538461
139,Hearts Ain't Gonna Lie,Arlissa，Jonas Blue,1022,1.0
140,Prologu(tango apasionado),钟定一,2236,0.7857142857142857
141,电灯胆,邓丽欣,12986,1.0
142,以后别做朋友（公视/TVBS偶像剧《16个夏天》片尾曲）,周兴哲,28002,0.875
143,Casey's Last Ride,Kris Kristofferson,7977,1.0
144,南山南,马頔,102868,0.6666666666666666
145,我要你（电影《驴得水》主题曲）,任素汐,103938,0.8461538461538461
146,Touch,Barcelona,9080,0.6666666666666666
147,Liar,LÉON,2000,0.6923076923076923
148,Do You Remember,Jarryd James,3750,0.8571428571428571
149,Loneliness,From Your Balcony,5641,1.0
150,绾青丝 ,花世,1338,1.0
151,理想三旬,陈鸿宇,324063,0.6153846153846154
152,爱了很久的朋友（电影《后来的我们》插曲）,田馥甄,141426,0.46153846153846156
153,夜机,陈慧娴,11745,1.0
154,孤单北半球,欧得洋,24553,0.8461538461538461
155,最需要的时候你离开,汪睿，王博文,1943,0.9333333333333333
156,Starry Starry Night（电影《至爱梵高》插曲）,Lianne La Havas,9741,0.8
157,落花情,李蚊香，萧忆情，根小八，小义学长，Mr曾经，梨落，特曼，满汉全席,17326,0.75
158,Bethena (A Concert Waltz)（《本杰明 巴顿奇事》最热配乐）,Alexandre Desplat,1191,0.7692307692307693
159,富士山下,陈奕迅,49063,0.8
160,沧海一声笑,黄霑,1784,0.8
161,如果你能感同我的身受,BC221,23879,0.6666666666666666
162,Assassin's Tango,John Powell,2979,0.75
163,分手总要在雨天,张学友,4065,0.8333333333333334
164,Stargazing (Kaskade Remix),Kygo，Justin Jesso，Kaskade,1014,0.8666666666666667
165,藏,徐梦圆，双笙,32931,0.8
166,Black Mambo,Glass Animals,1246,0.8333333333333334
167,喜欢的是,鉛筆,1977,0.7272727272727273
168,我们到最后终于变成朋友,王睿,19815,1.0
169,一天一万年,游鸿明,1116,0.6666666666666666
170,罗生门,麦浚龙，谢安琪,32283,0.8
171,Trouble (It's Different Remix),R3hab，VÉRITÉ,3383,0.7333333333333333
172,谁愿放手,陈慧琳,5143,1.0
173,我总是一个人在练习一个人,林宥嘉,2876,0.7142857142857143
174,So:Lo,Kate Havnevik,52664,0.9230769230769231
175,少女的祈祷,张智霖,3422,0.7142857142857143
176,ありがとうあなた(血疑主题曲),山口百恵,2494,1.0
